model,m,selection,session,task,kind,classes_seen,new_classes,accuracy,balanced_accuracy,f1_macro,f1_weighted,G_Mean,n,HR@1,MRR@1,HR@3,MRR@3,HR@5,MRR@5,RMSE_dr,MAE_dr,n_dr,RPD,minutes
resnet18,5,herding,2,T2_ODIR,class-incremental,7,Glaucoma,0.3314203730272597,0.4811411623640465,0.3980585884312312,0.2461376539870469,0.0,1394,0.3314203730272597,0.3314203730272597,0.8106169296987088,0.5547584887613581,0.9347202295552368,0.5838474414155906,0.8526393522648804,0.4447852760736196,326,0.673134328358209,0.44
resnet18,5,herding,3,T2_ODIR,class-incremental,8,Cataract,0.2225312934631432,0.4411565798146477,0.33915689860519,0.2511031085472909,0.3357465036371403,1438,0.2225312934631432,0.2225312934631432,0.8372739916550765,0.4887575336114974,0.9255910987482616,0.5095155308298563,0.899211242192739,0.4917491749174917,303,0.7229638103163859,0.45
resnet18,5,herding,4,T2_ODIR,class-incremental,9,AMD,0.1455653351387948,0.3937939236475488,0.2928083418353078,0.1527631580629305,0.166962856761826,1477,0.1455653351387948,0.1455653351387948,0.6750169262017603,0.3749717896637327,0.8747461069735951,0.4223990069961634,0.8873565094161138,0.5275590551181102,254,0.7587643962802131,0.46
resnet18,5,herding,5,T2_ODIR,class-incremental,10,Hypertension,0.0806451612903225,0.227378565900959,0.0856159619156057,0.08350787536713,0.0,1488,0.0806451612903225,0.0806451612903225,0.2553763440860215,0.1523297491039426,0.4543010752688172,0.1971550179211469,1.8213635742105632,1.3293413173652695,167,0.8081670725539052,0.43
resnet18,5,herding,6,T2_ODIR,class-incremental,11,Myopia,0.1893840104849279,0.3755254333873605,0.27139890742276,0.1844782196247524,0.1728742004521785,1526,0.1893840104849279,0.1893840104849279,0.3401048492791612,0.2540410659676714,0.7031454783748362,0.3390672782874618,0.914991421995628,0.4941860465116279,344,0.7806717816497115,0.56
resnet18,5,herding,7,T2_ODIR,class-incremental,12,Other,0.1648351648351648,0.2959335662310365,0.2501851735112409,0.1377148644959114,0.0,1638,0.1648351648351648,0.1648351648351648,0.3882783882783883,0.2634310134310134,0.6251526251526252,0.3178266178266178,1.0156434076640932,0.6081081081081081,222,0.839232398885886,0.78
resnet18,5,herding,8,T3_LAG,domain-incremental,12,,0.6019536019536019,0.4667472887310925,0.4537494082602052,0.6090393705406867,0.0,1638,0.6019536019536019,0.6019536019536019,0.86996336996337,0.7239519739519739,0.9413919413919414,0.7403133903133903,0.9035079029052512,0.4897959183673469,294,0.4998088741702018,2.27
resnet18,5,herding,9,T4_HAM,class-incremental,13,Actinic Keratoses,0.6099585062240664,0.543584869538319,0.5060137723756709,0.6216479354042793,0.4317930917680874,1687,0.6099585062240664,0.6099585062240664,0.8838174273858921,0.7335506816834617,0.953764078245406,0.7497036158861885,0.9426489041640792,0.5190217391304348,368,0.4057014457637036,0.73
resnet18,5,herding,10,T4_HAM,class-incremental,14,Basal Cell Carcinoma,0.6247165532879818,0.5041351466096303,0.4737539579681125,0.6177734360186371,0.0,1764,0.6247165532879818,0.6247165532879818,0.9058956916099772,0.7537792894935751,0.9603174603174603,0.7664493575207861,0.811582815655104,0.4026666666666667,375,0.4543426494982142,0.9
resnet18,5,herding,11,T4_HAM,class-incremental,15,Benign Keratosis,0.5964730290456431,0.4762943025191681,0.4380837011915142,0.5824687653132459,0.0,1928,0.5964730290456431,0.5964730290456431,0.891597510373444,0.7289937759336099,0.9548755186721992,0.7433609958506223,0.9089572094197558,0.4893048128342246,374,0.5070139839117215,1.24
resnet18,5,herding,12,T4_HAM,class-incremental,16,Dermatofibroma,0.4179948586118251,0.3763045357968148,0.2832535875887956,0.3903825895188213,0.0,1945,0.4179948586118251,0.4179948586118251,0.7773778920308483,0.581319622964867,0.8987146529562982,0.6095458440445587,1.2839333504839137,0.896969696969697,165,0.5878313026465872,0.59
resnet18,5,herding,13,T4_HAM,class-incremental,17,Melanocytic Nevi,0.6613068764967499,0.4418424527294609,0.3982114508201326,0.6210392455154398,0.0,2923,0.6613068764967499,0.6613068764967499,0.8994184057475196,0.7673052799635077,0.959288402326377,0.7811266963165698,0.8847758376155413,0.4797979797979798,396,0.575973998921569,4.69
resnet18,5,herding,14,T4_HAM,class-incremental,18,Melanoma,0.416261742792355,0.4049571047351514,0.3490263771002759,0.4180391891317773,0.0,3087,0.416261742792355,0.416261742792355,0.8464528668610302,0.6221790303422956,0.9196631033365728,0.638975272648742,0.8443022844971183,0.4357682619647355,397,0.5970779510251464,1.58
resnet18,5,herding,15,T4_HAM,class-incremental,19,Vascular Lesions,0.3046975546975547,0.3439216915208126,0.2623646280447037,0.300662252302314,0.0,3108,0.3046975546975547,0.3046975546975547,0.8124195624195624,0.5298155298155298,0.9034749034749034,0.5508740883740884,0.9758168014715312,0.5494880546075085,293,0.6479012938698159,0.96
resnet18,20,herding,0,T1_APTOS,base,5,No DR;Mild DR;Moderate DR;Severe DR;Proliferative DR,0.777262180974478,0.5772264148575855,0.5924788647342994,0.7665352104979992,0.5223789302455535,431,0.777262180974478,0.777262180974478,0.9860788863109048,0.8692962103634958,1.0,0.8725444702242846,0.7554903449104431,0.3248259860788863,431,0.0,0.48
resnet18,20,herding,1,T2_ODIR,class-incremental,6,Normal,0.824468085106383,0.5736870609158631,0.5925837193775376,0.8199626889122444,0.5271138619693423,1128,0.824468085106383,0.824468085106383,0.9831560283687945,0.8973108747044916,0.99822695035461,0.9007239952718676,0.7517293082676685,0.3434903047091412,361,0.1880597014925373,0.59
